0,0,"Kyrla Halford | education | University of Abila
Maha Salo | part of | VOICES
Maha Salo | part of | Homeland Illumination
Maha Salo | part of | GAStech
Maha Salo | owns | Two police vehicles
VOICES | owns | Two police vehicles
1512 | owns | Two police vehicles",12.619526624679565,1128,375
171,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | founder | Maha Salo
Homeland Illumination | founder | Petrus Gerhard
Homeland Illumination | headquarters location | Abila airport
Homeland Illumination | parent organization | GAStech
VOICES | inception | 1515
VOICES | founder | Maha Salo
VOICES | founder | Petrus Gerhard
VOICES | headquarters location | Abila airport
VOICES | parent organization | GAStech
Maha Salo | employer | Homeland Illumination
Maha Salo | employer | VOICES
Petrus Gerhard | employer | Homeland Illumination
Petrus Gerhard | employer | VOICES
Abila airport | country | 1430
GAStech | inception | 20 January 2014
GAStech | founder | Maha Salo
GAStech | founder | Petrus Gerhard
GAStech | headquarters location | Abila airport
GAStech | parent organization | Homeland Illumination
GAStech | parent organization | VOICES
1430 | contains administrative territorial entity | Abila airport
1430 | contains administrative territorial entity | Homeland Illumination
1430 | contains administrative territorial entity | VOICES
1430 | contains administrative territorial entity | GAStech
1515 | contains administrative territorial entity | VOICES
1515 | contains administrative territorial entity | Homeland Illumination
1515 | contains administrative territorial entity | GAStech
1515 | contains administrative territorial entity | Abila airport",12.349840879440308,1130,325
172,0,"Homeland Illumination | inception | 12 March 2009
Homeland Illumination | founder | Petrus Gerhard
Homeland Illumination | founder | Karel
Homeland Illumination | founder | Elian Karel
Homeland Illumination | headquarters location | Abila
Homeland Illumination | headquarters location | ABILA
Homeland Illumination | owner | Protectors of Kronos
Homeland Illumination | owner | POK
Homeland Illumination | owner | Kronos
Homeland Illumination | owner | Elodis
Homeland Illumination | owner | GAStech
Homeland Illumination | owner | President
POK | headquarters location | Abila
POK | headquarters location | ABILA
POK | owner | Homeland Illumination
POK | owner | GAStech
POK | owner | President
POK | owner | Elodis
POK | owner | Kronos
POK | owner | Protectors of Kronos
POK | founder | Petrus Gerhard
POK | founder | Karel
POK | founder | Elian Karel
POK | inception | 12 March 2009
Karel | position held | President
Karel | employer | Homeland Illumination
Karel | employer | POK
Petrus Gerhard | position held | President
Petrus Gerhard | employer | Homeland Illumination
Petrus Gerhard | employer | POK
12 March 2009 | point in time | Homeland Illumination
12 March 2009 | point in time | POK
ABILA | contains administrative territorial entity | Homeland Illumination
ABILA | contains administrative territorial entity | POK
Kronos | owner | Homeland Illumination
Kronos | owner | POK
Elian Karel | position held | President
Elian Karel | employer | Homeland Illumination
Elian Karel | employer | POK
Protectors of Kronos | owner | Homeland Illumination
Protectors of Kronos | owner | POK
Elodis | owner | Homeland Illumination
Elodis | owner | POK
Abila | contains administrative territorial entity | Homeland Illumination
Abila | contains administrative territorial entity | POK
President | employer | Homeland Illumination
President | employer | POK
GAStech | owner | Homeland Illumination
GAStech | owner | POK",15.938675165176392,1142,502
172,1,"Elodis | employer | GAStech
Kronos | employer | GAStech
Karel | employer | GAStech
Michale Kraft | employer | GAStech
POK | employer | GAStech
Kraft | employer | GAStech
Elodis | position held | President
Kronos | position held | Minister of Justice
Michale Kraft | position held | President
POK | position held | Minister of Justice
Kraft | position held | President
Saturday | day of the week | Michale Kraft
Saturday | day of the week | Kraft
Saturday | day of the week | Elodis
Saturday | day of the week | Kronos
Saturday | day of the week | POK
Saturday | day of the week | Karel
Karel | position held | Minister of Justice
Michale Kraft | position held | Minister of Justice
Kraft | position held | Minister of Justice
Elodis | position held | Minister of Justice
Kronos | position held | President
POK | position held | President
Karel | position held | President",7.685418605804443,1121,231
173,0,"Homeland Illumination | country | ABILA
MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING | publication date | 7 July 1999
Maha Salo | country | ABILA
Kronos | country | ABILA
Prime Minister of Health Cesare Nespola | country | ABILA
Protectors of Kronos (POK) | country | ABILA
Carmine Osvaldo | country | ABILA
Juliana Vann | country | ABILA
Prime Minister of Health Cesare Nespola | position held | MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING
Protectors of Kronos (POK) | located in the administrative territorial entity | Kronos
Carmine Osvaldo | position held | Prime Minister of Health Cesare Nespola
Juliana Vann | position held | Prime Minister of Health Cesare Nespola
Maha Salo | position held | Prime Minister of Health Cesare Nespola
Homeland Illumination | located in the administrative territorial entity | ABILA
MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING | located in the administrative territorial entity | ABILA
Maha Salo | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Prime Minister of Health Cesare Nespola | located in the administrative territorial entity | ABILA
Protectors of Kronos (POK) | located in the administrative territorial entity | ABILA
Carmine Osvaldo | located in the administrative territorial entity | ABILA
Juliana Vann | located in the administrative territorial entity | ABILA
MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING | country | ABILA
Homeland Illumination | inception | 7 July 1999
Maha Salo | inception | 7 July 1999
Kronos | inception | 7 July 1999
Prime Minister of Health Cesare Nespola | inception | 7 July 1999
Protectors of Kronos (POK) | inception | 7 July 1999
Carmine Osvaldo | inception | 7 July 1999
Juliana Vann | inception | 7 July 1999",16.154765367507935,1157,479
173,1,"POK | inception | 1997
Elodis | inception | 1997
POK | related | Elodis
Elodis | related | POK",1.609140396118164,1101,36
174,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
VOICES | inception | 20 January 2014
VOICES | inception | 20 Jan 2014
Maha Salo | inception | 20 January 2014
Maha Salo | inception | 20 Jan 2014
fire department | inception | 20 January 2014
fire department | inception | 20 Jan 2014
bomb squad | inception | 20 January 2014
bomb squad | inception | 20 Jan 2014
Homeland Illumination | participant | Maha Salo
VOICES | participant | Maha Salo
fire department | participant | Maha Salo
bomb squad | participant | Maha Salo
Homeland Illumination | participant | fire department
VOICES | participant | fire department
Maha Salo | participant | fire department
bomb squad | participant | fire department
Homeland Illumination | participant | bomb squad
VOICES | participant | bomb squad
Maha Salo | participant | bomb squad
fire department | participant | bomb squad",10.153225421905518,1122,241
175,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
GAStech | inception | 20 January 2014
GAStech | inception | 20 Jan 2014
Maha Salo | employer | Homeland Illumination
Maha Salo | employer | GAStech
VOICES | inception | 20 January 2014
VOICES | inception | 20 Jan 2014
1522 | inception | 20 January 2014
1522 | inception | 20 Jan 2014
Homeland Illumination | notable work | VOICES
GAStech | notable work | VOICES
Maha Salo | notable work | VOICES
1522 | notable work | VOICES
Homeland Illumination | number of employees | 1522
GAStech | number of employees | 1522
Maha Salo | number of employees | 1522
VOICES | number of employees | 1522",8.255374670028687,1124,213
176,0,"Homeland Illumination | inception | 25 April 1998
Homeland Illumination | founder | Petrus Gerhard
Homeland Illumination | founder | Henk Bodrogi
Homeland Illumination | product | ELODIS
Homeland Illumination | product | KRONOS
Homeland Illumination | location | Ferro Hardware store
Ferro Hardware store | contains | Homeland Illumination
Petrus Gerhard | occupation | founder of Homeland Illumination
Henk Bodrogi | occupation | founder of Homeland Illumination
Homeland Illumination | age | 200 years
Ferro Hardware store | age | 200 years
ELODIS | manufacturer | Homeland Illumination
KRONOS | manufacturer | Homeland Illumination
Petrus Gerhard | date of birth | 25 April 1998
Henk Bodrogi | date of birth | 25 April 1998
Homeland Illumination | date of establishment | 25 April 1998
Ferro Hardware store | date of establishment | 25 April 1998
ELODIS | date of introduction | 25 April 1998
KRONOS | date of introduction | 25 April 1998
Homeland Illumination | location of formation | Ferro Hardware store
Ferro Hardware store | location of formation | Homeland Illumination
Petrus Gerhard | associated with | Homeland Illumination
Henk Bodrogi | associated with | Homeland Illumination
Homeland Illumination | associated with | Petrus Gerhard
Homeland Illumination | associated with | Henk Bodrogi
Ferro Hardware store | associated with | Homeland Illumination
Homeland Illumination | associated with | Ferro Hardware store
ELODIS | associated with | Homeland Illumination
KRONOS | associated with | Homeland Illumination
Homeland Illumination | associated with | ELODIS
Homeland Illumination | associated with | KRONOS",15.631213188171387,1129,400
176,1,"Mr. Henk Bodrogi | profession | gas company
Bodrogi | profession | gas company
Mr. Henk Bodrogi | related to | Bodrogi
Bodrogi | related to | Mr. Henk Bodrogi
Mr. Henk Bodrogi | related to | worship days
Bodrogi | related to | worship days
gas company | related to | worship days
Mr. Henk Bodrogi | related to | gas company
Bodrogi | related to | gas company",4.256713151931763,1108,112
176,2,"Bodrodgi | contains | home
Bodrodgi | contains | acreage
Bodrodgi | contains | town
Bodrodgi | contains | city officers
Bodrodgi | contains | representative
Bodrodgi | contains | water specialist
Bodrodgi | contains | Wellness For All
Wellness For All | located in the administrative territorial entity | Bodrodgi
city officers | located in the administrative territorial entity | Bodrodgi
representative | located in the administrative territorial entity | Bodrodgi
water specialist | located in the administrative territorial entity | Bodrodgi
home | located in the administrative territorial entity | Bodrodgi
acreage | located in the administrative territorial entity | Bodrodgi
town | located in the administrative territorial entity | Bodrodgi
water | affected by | natural disasters
water | affected by | draught
water | used for | crops
water | used for | oil and gas development
equipment | used for | crops
equipment | includes | tractor
equipment | includes | truck
Profits | derived from | crops
Profits | affected by | natural disasters
Profits | affected by | draught
Profits | derived from | oil and gas development
next day | follows | draught
next day | follows | natural disasters
next day | follows | oil and gas development
next day | follows | crops
next day | follows | Profits
next day | follows | equipment
next day | follows | water
next day | follows | town
next day | follows | home
next day | follows | acreage
next day | follows | city officers
next day | follows | water specialist
next day | follows | representative
next day | follows | Wellness For All
next day | follows | Bodrodgi
next day | follows | tractor
next day | follows | truck",14.284429788589478,1140,386
176,3,"Joclyn Reynolds | employer | Wellness for All
Joclyn Reynolds | location | Southeast Asia
Elodis | location | Tiskele River
GAStech | location | Tiskele River
GAStech | product or material produced | benzene
GAStech | product or material produced | toluene
GAStech | product or material produced | xylene
GAStech | product or material produced | arsenic
GAStech | product or material produced | lead
GAStech | product or material produced | selenium
Tiskele River | contains | benzene
Tiskele River | contains | toluene
Tiskele River | contains | xylene
Tiskele River | contains | arsenic
Tiskele River | contains | lead
Tiskele River | contains | selenium
Southeast Asia | contains | Tiskele River
Southeast Asia | contains | Elodis
Southeast Asia | contains | GAStech
Wellness for All | location | Southeast Asia
Wellness for All | employee | Joclyn Reynolds
Elodis | country | Southeast Asia
GAStech | country | Southeast Asia
Tiskele River | country | Southeast Asia
Wellness for All | country | Southeast Asia
Joclyn Reynolds | country | Southeast Asia",13.272068977355957,1131,273
176,4,"GAStech | located in the administrative territorial entity | Elodis
GAStech | located next to body of water | Tiskele River
Hank Fluss | employee | GAStech
Sanjorge | located in the administrative territorial entity | Elodis
Sanjorge | located next to body of water | Tiskele River
Elodis | contains administrative territorial entity | GAStech
Elodis | contains administrative territorial entity | Sanjorge
Elodis | contains body of water | Tiskele River
Tiskele River | located in the administrative territorial entity | Elodis
Tiskele River | flows through | GAStech
Tiskele River | flows through | Sanjorge
Hank Fluss | resides in | Elodis
Hank Fluss | works near | Tiskele River",6.9973485469818115,1111,177
176,5,"Sten Sanjorge, Jr. | employer | GAStech
Reynolds | employer | GAStech
Kronos | employer | GAStech
Elodis | employer | GAStech
Pondo Reese | employer | GAStech
GAStech | inception | 1990
GAStech | dissolution date | May 15, 1998",4.278329849243164,1127,79
177,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
GAStech | inception | 1356
GAStech-Tethys | inception | 1356
GAStech | subsidiary | GAStech-Tethys
GAStech-Tethys | parent organization | GAStech
Maha Salo | notable work | VOICES
VOICES | performer | Maha Salo
Homeland Illumination | notable work | VOICES
VOICES | record label | Homeland Illumination
GAStech | notable work | GAStech-Tethys
GAStech-Tethys | performer | GAStech
GAStech | notable work | Homeland Illumination
Homeland Illumination | performer | GAStech
GAStech-Tethys | notable work | Homeland Illumination
Homeland Illumination | performer | GAStech-Tethys",7.95198917388916,1131,196
178,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
GAStech | inception | 20 January 2014
GAStech | inception | 20 Jan 2014
VOICES | inception | 20 January 2014
VOICES | inception | 20 Jan 2014
Maha Salo | member of | Homeland Illumination
Maha Salo | member of | GAStech
Maha Salo | member of | VOICES
Firemen | member of | Homeland Illumination
Firemen | member of | GAStech
Firemen | member of | VOICES",5.534918308258057,1123,141
179,0,"GAStech | chief executive officer | Sten Sanjorge
GAStech | country | Homeland Illumination
GAStech | notable work | Tethys
Sten Sanjorge | employer | GAStech
Sten Sanjorge | country | Homeland Illumination
Maha Salo | country | Homeland Illumination
Maha Salo | employer | VOICES
VOICES | country | Homeland Illumination
VOICES | inception | 21 January 2014
Abila airport | country | Homeland Illumination
Tethys | country | Homeland Illumination
Tethys | inception | 21 Jan 2014
Tethys | operator | GAStech
Homeland Illumination | contains administrative territorial entity | Abila airport
Homeland Illumination | contains administrative territorial entity | GAStech
Homeland Illumination | contains administrative territorial entity | VOICES
Homeland Illumination | contains administrative territorial entity | Tethys
Homeland Illumination | contains administrative territorial entity | Maha Salo
Homeland Illumination | contains administrative territorial entity | Sten Sanjorge
Abila airport | located in the administrative territorial entity | Homeland Illumination
GAStech | located in the administrative territorial entity | Homeland Illumination
VOICES | located in the administrative territorial entity | Homeland Illumination
Tethys | located in the administrative territorial entity | Homeland Illumination
Maha Salo | located in the administrative territorial entity | Homeland Illumination
Sten Sanjorge | located in the administrative territorial entity | Homeland Illumination",11.467198371887207,1134,321
180,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
VOICES | inception | 20 January 2014
VOICES | inception | 20 Jan 2014
Maha Salo | inception | 20 January 2014
Maha Salo | inception | 20 Jan 2014
fire department | inception | 20 January 2014
fire department | inception | 20 Jan 2014",3.8803629875183105,1119,103
181,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
VOICES | inception | 20 January 2014
VOICES | inception | 20 Jan 2014
Maha Salo | inception | 20 January 2014
Maha Salo | inception | 20 Jan 2014
Kronos | inception | 1937
Kronos police | inception | 1937
Homeland Illumination | participant | Maha Salo
VOICES | participant | Maha Salo
Kronos | participant | Kronos police
Kronos police | participant | Kronos
Homeland Illumination | participant | VOICES
VOICES | participant | Homeland Illumination
Homeland Illumination | participant | Kronos
Kronos | participant | Homeland Illumination
VOICES | participant | Kronos
Kronos | participant | VOICES
Maha Salo | participant | Kronos
Kronos | participant | Maha Salo
Maha Salo | participant | Kronos police
Kronos police | participant | Maha Salo
Homeland Illumination | participant | Kronos police
Kronos police | participant | Homeland Illumination
VOICES | participant | Kronos police
Kronos police | participant | VOICES",9.18353819847107,1127,283
182,0,"Homeland Illumination | publication date | 21 January 2014
Homeland Illumination | publication date | 21 Jan 2014
VOICES | publication date | 21 January 2014
VOICES | publication date | 21 Jan 2014
Maha Salo | publication date | 21 January 2014
Maha Salo | publication date | 21 Jan 2014
Petrus Gerhard | publication date | 21 January 2014
Petrus Gerhard | publication date | 21 Jan 2014
Homeland Illumination | contributor | Maha Salo
Homeland Illumination | contributor | Petrus Gerhard
VOICES | contributor | Maha Salo
VOICES | contributor | Petrus Gerhard
Maha Salo | contributor | Homeland Illumination
Maha Salo | contributor | VOICES
Petrus Gerhard | contributor | Homeland Illumination
Petrus Gerhard | contributor | VOICES",8.03921627998352,1121,205
183,0,"Homeland Illumination | inception | 21 January 2014
Homeland Illumination | location | Abila
Homeland Illumination | owner | Maha Salo
VOICES | location | Abila
VOICES | inception | 21 January 2014
VOICES | owner | Maha Salo
GAStech | location | Abila
GAStech | inception | 21 January 2014
GAStech | owner | Maha Salo
0911 | location | Abila
0911 | inception | 21 January 2014
0911 | owner | Maha Salo
Maha Salo | owns | Homeland Illumination
Maha Salo | owns | VOICES
Maha Salo | owns | GAStech
Maha Salo | owns | 0911
Abila | contains | Homeland Illumination
Abila | contains | VOICES
Abila | contains | GAStech
Abila | contains | 0911",7.498517990112305,1120,206
184,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
GAStech | inception | 1807
VOICES | participant | Maha Salo
GAStech | location | Airport
Homeland Illumination | location | Airport
VOICES | inception | 20 January 2014
VOICES | inception | 20 Jan 2014
Maha Salo | affiliation | VOICES
Maha Salo | affiliation | Homeland Illumination
GAStech | competitor | Homeland Illumination
Homeland Illumination | competitor | GAStech",4.757229804992676,1126,130
185,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
Maha Salo | member of | Homeland Illumination
VOICES | member of | Homeland Illumination
1538 | member of | Homeland Illumination
VIPs | member of | Homeland Illumination
Homeland Illumination | has part | VOICES
Homeland Illumination | has part | Maha Salo
Homeland Illumination | has part | 1538
Homeland Illumination | has part | VIPs",4.078040838241577,1123,116
186,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | participant | Maha Salo
Homeland Illumination | participant | GAStech
Homeland Illumination | participant | Kronos
VOICES | participant | Maha Salo
VOICES | participant | GAStech
VOICES | participant | Kronos
Maha Salo | employer | Homeland Illumination
Maha Salo | employer | VOICES
GAStech | participant | Homeland Illumination
GAStech | participant | VOICES
Kronos | participant | Homeland Illumination
Kronos | participant | VOICES
1232 | participant | Homeland Illumination
1232 | participant | VOICES
Homeland Illumination | participant | 1232
VOICES | participant | 1232",5.958251953125,1120,169
187,0,"Homeland Illumination | inception | 20 January 2014
Homeland Illumination | inception | 20 Jan 2014
VOICES | inception | 20 January 2014
VOICES | inception | 20 Jan 2014
Maha Salo | inception | 20 January 2014
Maha Salo | inception | 20 Jan 2014
two police squad cars | inception | 20 January 2014
two police squad cars | inception | 20 Jan 2014
1247 | inception | 20 January 2014
1247 | inception | 20 Jan 2014
Homeland Illumination | participant | Maha Salo
Homeland Illumination | participant | two police squad cars
VOICES | participant | Maha Salo
VOICES | participant | two police squad cars
Maha Salo | participant | Homeland Illumination
Maha Salo | participant | VOICES
two police squad cars | participant | Homeland Illumination
two police squad cars | participant | VOICES
1247 | participant | Homeland Illumination
1247 | participant | VOICES
1247 | participant | Maha Salo
1247 | participant | two police squad cars",8.418951749801636,1125,254
188,0,"ELODIS PUBLIC HEALTH FACT SHEET | publication date | 15 May 1998
ELODIS PUBLIC HEALTH FACT SHEET | publisher | ELODIS
ELODIS PUBLIC HEALTH FACT SHEET | publisher | Elodis
ELODIS PUBLIC HEALTH FACT SHEET | topic | arsenic
ELODIS PUBLIC HEALTH FACT SHEET | topic | acetic anhydride
ELODIS PUBLIC HEALTH FACT SHEET | topic | benzene
ELODIS PUBLIC HEALTH FACT SHEET | topic | chlorine dioxide
Elodis Community Health Center | inception | 1998
Elodis Community Health Center | owner | ELODIS
Elodis Community Health Center | owner | Elodis
Elodis Community Health Center | program | Wellness for All
Elodis Community Health Center | location | Homeland Illumination
Elodis Community Health Center | program | Kronos
Petrus Gerhard | employer | ELODIS
Petrus Gerhard | employer | Elodis
Petrus Gerhard | occupation | Elodis Community Health Center
ELODIS | publication | ELODIS PUBLIC HEALTH FACT SHEET
Elodis | publication | ELODIS PUBLIC HEALTH FACT SHEET
ELODIS | founded | Elodis Community Health Center
Elodis | founded | Elodis Community Health Center
ELODIS | inception | 1998
Elodis | inception | 1998
ELODIS | location | Homeland Illumination
Elodis | location | Homeland Illumination
ELODIS | program | Wellness for All
Elodis | program | Wellness for All
ELODIS | program | Kronos
Elodis | program | Kronos
ELODIS | employee | Petrus Gerhard
Elodis | employee | Petrus Gerhard
ELODIS | topic | arsenic
Elodis | topic | arsenic
ELODIS | topic | acetic anhydride
Elodis | topic | acetic anhydride
ELODIS | topic | benzene
Elodis | topic | benzene
ELODIS | topic | chlorine dioxide
Elodis | topic | chlorine dioxide",15.833825588226318,1157,460
189,0,"Homeland Illumination | inception | 31 August 2001
Homeland Illumination | country | POK
Homeland Illumination | located in the administrative territorial entity | POK
POK | contains administrative territorial entity | Homeland Illumination
POK | contains administrative territorial entity | Protectors of Kronos
POK | contains administrative territorial entity | Tiskele Bend fields
POK | contains administrative territorial entity | Tiskele River
POK | contains administrative territorial entity | Elodis
POK | contains administrative territorial entity | Juliana
Petrus Gerhard | country | POK
Petrus Gerhard | located in the administrative territorial entity | POK
ELODIS | country | POK
ELODIS | located in the administrative territorial entity | POK
Kronos | country | POK
Kronos | located in the administrative territorial entity | POK
Protectors of Kronos | country | POK
Protectors of Kronos | located in the administrative territorial entity | POK
Tiskele Bend fields | country | POK
Tiskele Bend fields | located in the administrative territorial entity | POK
GAStech | country | POK
GAStech | located in the administrative territorial entity | POK
Tiskele River | country | POK
Tiskele River | located in the administrative territorial entity | POK
Elodis | country | POK
Elodis | located in the administrative territorial entity | POK
Juliana | country | POK
Juliana | located in the administrative territorial entity | POK",11.854241609573364,1144,333
189,1,"Government of Kronos | employer | Griffith Mabel
Government of Kronos | country | Elodis
Government of Kronos | country | POK
Government of Kronos | employer | Charley Normand
Government of Kronos | employer | GAStech
Elodis | country | Government of Kronos
POK | country | Government of Kronos
Griffith Mabel | employer | Government of Kronos
Griffith Mabel | country | Elodis
Griffith Mabel | country | POK
Homeland Illumination | country | Elodis
Homeland Illumination | country | POK
Charley Normand | employer | Government of Kronos
Charley Normand | country | Elodis
Charley Normand | country | POK
GAStech | employer | Government of Kronos
GAStech | country | Elodis
GAStech | country | POK",7.050933122634888,1119,195
189,2,"Mabel | occupation | Homeland Illumination
Kronos police | located in the administrative territorial entity | Abila
Elodis jail | located in the administrative territorial entity | Abila
government cars | owned by | three parties
five activists | arrested by | Kronos police
five activists | detained at | Elodis jail
Homeland Illumination | located in the administrative territorial entity | Abila
Homeland Illumination | operated by | Mabel
three parties | located in the administrative territorial entity | Abila
three parties | owns | government cars
Kronos police | operates | government cars
Abila | contains administrative territorial entity | Elodis jail
Abila | contains administrative territorial entity | Homeland Illumination
Abila | contains administrative territorial entity | Kronos police
Abila | contains administrative territorial entity | three parties
Mabel | located in the administrative territorial entity | Abila
five activists | located in the administrative territorial entity | Abila
Elodis jail | contains | five activists
Kronos police | located in the administrative territorial entity | Abila
Kronos police | operates in | Abila
Kronos police | arrests | five activists
Kronos police | uses | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
Abila | contains | five activists
Abila | contains | government cars
Abila | contains | Elodis jail
Abila | contains | Homeland Illumination
Abila | contains | Kronos police
Abila | contains | three parties
Abila | contains | Mabel
